AP,Portada,Categoría,Región,Periodo,Mes,Año,Acceso,ext,nacmay,rprov,rloc,est,jp,men,total,nactotal
Iberá,San Nicolás,PN,CENTRO,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Mburucuyá,Única,PN,CENTRO,2017m10,10,2017,NO COBRA,9,155,92,189,0,0,140,585,576
Pre Delta,Única,PN,CENTRO,2017m10,10,2017,NO COBRA,13,2562,5314,5573,653,141,2210,16466,16453
Quebrada del Condorito,Única,PN,CENTRO,2017m10,10,2017,NO COBRA,272,438,2278,742,0,0,0,3730,3458
San Guillermo,Única,PN,CENTRO,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Sierra de las Quijadas,Única,PN,CENTRO,2017m10,10,2017,COBRA,58,753,130,3,285,332,81,1642,1584
Talampaya,Única,PN,CENTRO,2017m10,10,2017,COBRA,947,3172,213,0,527,5163,152,10174,9227
Chaco,Única,PN,NEA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Colonia Benítez,Única,RNEd,NEA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
El Impenetrable,Única,PN,NEA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Formosa,Única,RNat,NEA,2017m10,10,2017,NO COBRA,8,3,0,10,0,0,0,21,13
Iguazú,Única,PN,NEA,2017m10,10,2017,COBRA,76194,72338,4960,2239,0,19049,28675,203455,127261
Río Pilcomayo,Estero Poi,PN,NEA,2017m10,10,2017,NO COBRA,0,69,22,59,2,0,64,216,216
Río Pilcomayo,Laguna Blanca,PN,NEA,2017m10,10,2017,NO COBRA,26,361,811,2479,0,0,1295,4972,4946
Aconquija,Única,PN,NOA,2017m10,10,2017,NO COBRA,2,44,74,326,45,2,191,684,682
Baritú,Única,PN,NOA,2017m10,10,2017,NO COBRA,2,35,8,6,41,0,0,92,90
Calilegua,Única,PN,NOA,2017m10,10,2017,NO COBRA,226,826,452,484,346,0,205,2539,2313
Copo,Guayacán,PN,NOA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Copo,Portada,PN,NOA,2017m10,10,2017,NO COBRA,7,20,0,0,0,0,0,27,20
El Rey,Única,PN,NOA,2017m10,10,2017,NO COBRA,27,81,109,0,0,0,189,406,379
Laguna de los Pozuelos,Única,MN,NOA,2017m10,10,2017,NO COBRA,91,41,13,0,0,0,0,145,54
Los Cardones,Recta del Tín Tín,PN,NOA,2017m10,10,2017,NO COBRA,425,9244,414,112,198,1732,78,12203,11778
Los Cardones,Valle Encantado,PN,NOA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Nogalar de los Toldos,Única,RNac,NOA,2017m10,10,2017,NO COBRA,0,10,17,15,59,0,0,101,101
Pizarro,Única,RNac,NOA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Bosques Petrificados,Única,PN,PATAGONIA,2017m10,10,2017,NO COBRA,69,84,22,46,3,69,38,331,262
Lago Puelo,Única,PN,PATAGONIA,2017m10,10,2017,COBRA,158,2885,804,2996,255,1347,1677,10122,9964
Laguna Blanca,Única,PN,PATAGONIA,2017m10,10,2017,NO COBRA,29,112,58,113,0,0,0,312,283
Lanín,Hua Hum,PN,PATAGONIA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Lago Huechulaufquen,PN,PATAGONIA,2017m10,10,2017,COBRA,0,944,0,0,168,1260,333,2705,2705
Lanín,Muelle Lago Lácar,PN,PATAGONIA,2017m10,10,2017,COBRA,136,1389,576,0,305,421,107,2934,2798
Lanín,Quila Quina,PN,PATAGONIA,2017m10,10,2017,COBRA,2,558,397,0,150,302,0,1409,1407
Lanín,Ruka Choroy,PN,PATAGONIA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Volcán Lanín,PN,PATAGONIA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Área Tromen,PN,PATAGONIA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Ñorkinko,PN,PATAGONIA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lihué Calel,Única,PN,PATAGONIA,2017m10,10,2017,NO COBRA,12,93,268,94,742,11,160,1380,1368
Los Alerces,Portada Centro,PN,PATAGONIA,2017m10,10,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Portada Norte,PN,PATAGONIA,2017m10,10,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Portada Sur,PN,PATAGONIA,2017m10,10,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Villa Futalaufquen,PN,PATAGONIA,2017m10,10,2017,NO COBRA,393,1226,0,14,0,167,175,1975,1582
Los Glaciares,El Chaltén,PN,PATAGONIA,2017m10,10,2017,NO COBRA,3980,6026,0,0,0,0,0,10006,6026
Los Glaciares,Puerto Bandera,PN,PATAGONIA,2017m10,10,2017,COBRA,5706,5726,13,4443,384,0,470,16742,11036
Los Glaciares,Puerto La Cruz,PN,PATAGONIA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Puerto La Soledad,PN,PATAGONIA,2017m10,10,2017,COBRA,1301,264,0,0,0,0,0,1565,264
Los Glaciares,Puerto Lago Argentino,PN,PATAGONIA,2017m10,10,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Río Mitre,PN,PATAGONIA,2017m10,10,2017,COBRA,31607,12438,3261,3523,1533,5933,2897,61192,29585
Monte León,Única,PN,PATAGONIA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Nahuel Huapi,Lago Mascardi,PN,PATAGONIA,2017m10,10,2017,COBRA,1454,1905,1258,2432,252,0,99,7400,5946
Nahuel Huapi,Puerto Pañuelo,PN,PATAGONIA,2017m10,10,2017,COBRA,2847,9028,348,6727,12686,0,822,32458,29611
Nahuel Huapi,Quetrihué,PN,PATAGONIA,2017m10,10,2017,COBRA,369,1614,1132,1437,1343,0,207,6102,5733
Nahuel Huapi,Río Limay,PN,PATAGONIA,2017m10,10,2017,COBRA,0,0,289,0,3182,0,0,3471,3471
Patagonia,Única,PN,PATAGONIA,2017m10,10,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Perito Moreno,Única,PN,PATAGONIA,2017m10,10,2017,NO COBRA,2,8,26,3,0,0,9,48,46
Tierra del Fuego,Ruta Nacional 3,PN,PATAGONIA,2017m10,10,2017,COBRA,4529,2883,11135,0,18,35,316,18916,14387
Tierra del Fuego,Tren del Fin del Mundo,PN,PATAGONIA,2017m10,10,2017,COBRA,6537,7859,471,0,0,2742,939,18548,12011
Ciervo de los Pantanos,Única,PN,CENTRO,2017m11,11,2017,NO COBRA,4,195,731,175,83,7,500,1695,1691
El Leoncito,Única,PN,CENTRO,2017m11,11,2017,NO COBRA,305,666,1571,277,0,0,0,2819,2514
El Palmar,Única,PN,CENTRO,2017m11,11,2017,COBRA,148,5919,3145,504,730,3767,15454,29667,29519
Iberá,Cambyretá,PN,CENTRO,2017m11,11,2017,NO COBRA,37,75,59,0,68,23,25,287,250
Iberá,San Nicolás,PN,CENTRO,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Mburucuyá,Única,PN,CENTRO,2017m11,11,2017,NO COBRA,9,110,232,156,22,2,188,719,710
Pre Delta,Única,PN,CENTRO,2017m11,11,2017,NO COBRA,70,2174,3251,2965,655,79,1231,10425,10355
Quebrada del Condorito,Única,PN,CENTRO,2017m11,11,2017,NO COBRA,433,477,1851,268,0,0,0,3029,2596
San Guillermo,Única,PN,CENTRO,2017m11,11,2017,NO COBRA,0,0,19,0,0,0,0,19,19
Sierra de las Quijadas,Única,PN,CENTRO,2017m11,11,2017,COBRA,68,711,148,13,292,244,69,1545,1477
Talampaya,Única,PN,CENTRO,2017m11,11,2017,COBRA,602,2424,68,0,114,2606,256,6070,5468
Chaco,Única,PN,NEA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Colonia Benítez,Única,RNEd,NEA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
El Impenetrable,Única,PN,NEA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Formosa,Única,RNat,NEA,2017m11,11,2017,NO COBRA,1,3,0,0,0,0,2,6,5
Iguazú,Única,PN,NEA,2017m11,11,2017,COBRA,54192,61970,6902,2530,0,18494,20222,164310,110118
Río Pilcomayo,Estero Poi,PN,NEA,2017m11,11,2017,NO COBRA,2,15,159,40,2,0,27,245,243
Río Pilcomayo,Laguna Blanca,PN,NEA,2017m11,11,2017,NO COBRA,31,92,393,305,0,7,262,1090,1059
Aconquija,Única,PN,NOA,2017m11,11,2017,NO COBRA,1,16,47,295,0,0,102,461,460
Baritú,Única,PN,NOA,2017m11,11,2017,NO COBRA,4,0,0,0,0,0,0,4,0
Calilegua,Única,PN,NOA,2017m11,11,2017,NO COBRA,149,251,152,399,742,0,394,2087,1938
Copo,Guayacán,PN,NOA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Copo,Portada,PN,NOA,2017m11,11,2017,NO COBRA,0,17,0,0,0,0,45,62,62
El Rey,Única,PN,NOA,2017m11,11,2017,NO COBRA,25,52,77,0,0,0,160,314,289
Laguna de los Pozuelos,Única,MN,NOA,2017m11,11,2017,NO COBRA,79,21,1,0,0,0,1,102,23
Los Cardones,Recta del Tín Tín,PN,NOA,2017m11,11,2017,NO COBRA,200,6081,299,84,115,1534,93,8406,8206
Los Cardones,Valle Encantado,PN,NOA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Nogalar de los Toldos,Única,RNac,NOA,2017m11,11,2017,NO COBRA,0,0,19,2,49,0,0,70,70
Pizarro,Única,RNac,NOA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Bosques Petrificados,Única,PN,PATAGONIA,2017m11,11,2017,NO COBRA,158,234,9,16,0,37,12,466,308
Lago Puelo,Única,PN,PATAGONIA,2017m11,11,2017,COBRA,332,4056,1240,2947,206,1381,2061,12223,11891
Laguna Blanca,Única,PN,PATAGONIA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Hua Hum,PN,PATAGONIA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Lago Huechulaufquen,PN,PATAGONIA,2017m11,11,2017,COBRA,200,1349,165,0,239,1416,117,3486,3286
Lanín,Muelle Lago Lácar,PN,PATAGONIA,2017m11,11,2017,COBRA,107,854,618,0,738,597,38,2952,2845
Lanín,Quila Quina,PN,PATAGONIA,2017m11,11,2017,COBRA,47,866,219,0,119,613,7,1871,1824
Lanín,Ruka Choroy,PN,PATAGONIA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Volcán Lanín,PN,PATAGONIA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Área Tromen,PN,PATAGONIA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Ñorkinko,PN,PATAGONIA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lihué Calel,Única,PN,PATAGONIA,2017m11,11,2017,NO COBRA,13,135,221,15,502,0,14,900,887
Los Alerces,Portada Centro,PN,PATAGONIA,2017m11,11,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Portada Norte,PN,PATAGONIA,2017m11,11,2017,COBRA,757,1435,46,42,0,48,161,2489,1732
Los Alerces,Portada Sur,PN,PATAGONIA,2017m11,11,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Alerces,Villa Futalaufquen,PN,PATAGONIA,2017m11,11,2017,NO COBRA,391,1123,35,25,0,29,104,1707,1316
Los Glaciares,El Chaltén,PN,PATAGONIA,2017m11,11,2017,NO COBRA,8757,4722,0,0,0,0,0,13479,4722
Los Glaciares,Puerto Bandera,PN,PATAGONIA,2017m11,11,2017,COBRA,7847,4586,24,4226,269,0,165,17117,9270
Los Glaciares,Puerto La Cruz,PN,PATAGONIA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Puerto La Soledad,PN,PATAGONIA,2017m11,11,2017,COBRA,3150,381,0,206,43,0,0,3780,630
Los Glaciares,Puerto Lago Argentino,PN,PATAGONIA,2017m11,11,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Río Mitre,PN,PATAGONIA,2017m11,11,2017,COBRA,58487,13050,2016,2046,1071,7228,2126,86024,27537
Monte León,Única,PN,PATAGONIA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Nahuel Huapi,Lago Mascardi,PN,PATAGONIA,2017m11,11,2017,COBRA,1486,3616,261,3887,47,0,38,9335,7849
Nahuel Huapi,Puerto Pañuelo,PN,PATAGONIA,2017m11,11,2017,COBRA,5087,8913,417,6548,643,0,437,22045,16958
Nahuel Huapi,Quetrihué,PN,PATAGONIA,2017m11,11,2017,COBRA,846,2651,1008,1800,296,0,141,6742,5896
Nahuel Huapi,Río Limay,PN,PATAGONIA,2017m11,11,2017,COBRA,0,0,0,0,0,0,0,0,0
Patagonia,Única,PN,PATAGONIA,2017m11,11,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Perito Moreno,Única,PN,PATAGONIA,2017m11,11,2017,NO COBRA,44,42,24,8,0,0,11,129,85
Tierra del Fuego,Ruta Nacional 3,PN,PATAGONIA,2017m11,11,2017,COBRA,15937,4711,5847,0,1031,1997,918,30441,14504
Tierra del Fuego,Tren del Fin del Mundo,PN,PATAGONIA,2017m11,11,2017,COBRA,11060,5486,222,0,108,2575,716,20167,9107
Ciervo de los Pantanos,Única,PN,CENTRO,2017m12,12,2017,NO COBRA,2,51,135,29,0,0,59,276,274
El Leoncito,Única,PN,CENTRO,2017m12,12,2017,NO COBRA,133,309,464,126,0,27,261,1320,1187
El Palmar,Única,PN,CENTRO,2017m12,12,2017,COBRA,146,4577,2151,759,276,1562,1848,11319,11173
Iberá,Cambyretá,PN,CENTRO,2017m12,12,2017,NO COBRA,41,68,0,0,0,30,12,151,110
Iberá,San Nicolás,PN,CENTRO,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Mburucuyá,Única,PN,CENTRO,2017m12,12,2017,NO COBRA,17,98,82,139,34,0,104,474,457
Pre Delta,Única,PN,CENTRO,2017m12,12,2017,NO COBRA,29,1342,1209,1580,0,42,1148,5350,5321
Quebrada del Condorito,Única,PN,CENTRO,2017m12,12,2017,NO COBRA,401,287,462,55,0,0,0,1205,804
San Guillermo,Única,PN,CENTRO,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Sierra de las Quijadas,Única,PN,CENTRO,2017m12,12,2017,COBRA,70,217,24,38,54,32,88,523,453
Talampaya,Única,PN,CENTRO,2017m12,12,2017,COBRA,651,826,24,0,114,566,118,2299,1648
Chaco,Única,PN,NEA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Colonia Benítez,Única,RNEd,NEA,2017m12,12,2017,NO COBRA,4,3,7,0,102,0,0,116,112
El Impenetrable,Única,PN,NEA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Formosa,Única,RNat,NEA,2017m12,12,2017,NO COBRA,0,2,0,0,0,0,0,2,2
Iguazú,Única,PN,NEA,2017m12,12,2017,COBRA,72882,27922,4807,3053,0,16283,17910,142857,69975
Río Pilcomayo,Estero Poi,PN,NEA,2017m12,12,2017,NO COBRA,7,10,58,47,0,0,1,123,116
Río Pilcomayo,Laguna Blanca,PN,NEA,2017m12,12,2017,NO COBRA,35,64,556,1972,0,4,1091,3722,3687
Aconquija,Única,PN,NOA,2017m12,12,2017,NO COBRA,2,9,13,75,0,0,11,110,108
Baritú,Única,PN,NOA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Calilegua,Única,PN,NOA,2017m12,12,2017,NO COBRA,86,412,120,305,42,0,184,1149,1063
Copo,Guayacán,PN,NOA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Copo,Portada,PN,NOA,2017m12,12,2017,NO COBRA,6,11,0,0,0,0,0,17,11
El Rey,Única,PN,NOA,2017m12,12,2017,NO COBRA,0,18,0,0,0,0,0,18,18
Laguna de los Pozuelos,Única,MN,NOA,2017m12,12,2017,NO COBRA,43,21,2,6,0,0,2,74,31
Los Cardones,Recta del Tín Tín,PN,NOA,2017m12,12,2017,NO COBRA,350,4709,148,121,0,1517,54,6899,6549
Los Cardones,Valle Encantado,PN,NOA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Nogalar de los Toldos,Única,RNac,NOA,2017m12,12,2017,NO COBRA,0,16,9,37,0,0,0,62,62
Pizarro,Única,RNac,NOA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Bosques Petrificados,Única,PN,PATAGONIA,2017m12,12,2017,NO COBRA,154,27,174,11,59,26,81,532,378
Lago Puelo,Única,PN,PATAGONIA,2017m12,12,2017,COBRA,545,6239,2554,12088,194,6133,3576,31329,30784
Laguna Blanca,Única,PN,PATAGONIA,2017m12,12,2017,NO COBRA,16,139,73,20,27,0,14,289,273
Lanín,Hua Hum,PN,PATAGONIA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Lago Huechulaufquen,PN,PATAGONIA,2017m12,12,2017,COBRA,354,1496,806,0,545,1603,569,5373,5019
Lanín,Muelle Lago Lácar,PN,PATAGONIA,2017m12,12,2017,COBRA,174,1373,468,0,341,555,121,3032,2858
Lanín,Quila Quina,PN,PATAGONIA,2017m12,12,2017,COBRA,111,1630,461,0,495,628,158,3483,3372
Lanín,Ruka Choroy,PN,PATAGONIA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Volcán Lanín,PN,PATAGONIA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Área Tromen,PN,PATAGONIA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Ñorkinko,PN,PATAGONIA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Lihué Calel,Única,PN,PATAGONIA,2017m12,12,2017,NO COBRA,12,131,83,43,0,1,137,407,395
Los Alerces,Portada Centro,PN,PATAGONIA,2017m12,12,2017,COBRA,1388,2039,1547,8690,333,215,3198,17410,16022
Los Alerces,Portada Norte,PN,PATAGONIA,2017m12,12,2017,COBRA,987,1781,436,676,49,152,561,4642,3655
Los Alerces,Portada Sur,PN,PATAGONIA,2017m12,12,2017,COBRA,30,189,70,703,2,21,91,1106,1076
Los Alerces,Villa Futalaufquen,PN,PATAGONIA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,El Chaltén,PN,PATAGONIA,2017m12,12,2017,NO COBRA,14048,3714,0,0,0,0,0,17762,3714
Los Glaciares,Puerto Bandera,PN,PATAGONIA,2017m12,12,2017,COBRA,6627,1794,54,2007,287,0,530,11299,4672
Los Glaciares,Puerto La Cruz,PN,PATAGONIA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Puerto La Soledad,PN,PATAGONIA,2017m12,12,2017,COBRA,3047,239,0,129,0,0,145,3560,513
Los Glaciares,Puerto Lago Argentino,PN,PATAGONIA,2017m12,12,2017,COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Río Mitre,PN,PATAGONIA,2017m12,12,2017,COBRA,50923,10669,2794,2356,1992,5095,3843,77672,26749
Monte León,Única,PN,PATAGONIA,2017m12,12,2017,NO COBRA,146,165,161,114,0,0,203,789,643
Nahuel Huapi,Lago Mascardi,PN,PATAGONIA,2017m12,12,2017,COBRA,2381,3909,1613,1815,500,0,128,10346,7965
Nahuel Huapi,Puerto Pañuelo,PN,PATAGONIA,2017m12,12,2017,COBRA,6297,6026,909,5548,9036,0,858,28674,22377
Nahuel Huapi,Quetrihué,PN,PATAGONIA,2017m12,12,2017,COBRA,837,2482,1000,1270,519,0,0,6108,5271
Nahuel Huapi,Río Limay,PN,PATAGONIA,2017m12,12,2017,COBRA,0,0,4929,0,7748,0,0,12677,12677
Patagonia,Única,PN,PATAGONIA,2017m12,12,2017,NO COBRA,0,0,0,0,0,0,0,0,0
Perito Moreno,Única,PN,PATAGONIA,2017m12,12,2017,NO COBRA,171,45,16,12,0,0,17,261,90
Tierra del Fuego,Ruta Nacional 3,PN,PATAGONIA,2017m12,12,2017,COBRA,27458,5224,10158,0,1133,2236,1907,48116,20658
Tierra del Fuego,Tren del Fin del Mundo,PN,PATAGONIA,2017m12,12,2017,COBRA,12484,3847,324,0,144,1629,897,19325,6841
Ciervo de los Pantanos,Única,PN,CENTRO,2018m1,1,2018,NO COBRA,4,165,129,46,0,0,64,408,404
El Leoncito,Única,PN,CENTRO,2018m1,1,2018,NO COBRA,292,1786,1422,502,0,0,0,4002,3710
El Palmar,Única,PN,CENTRO,2018m1,1,2018,COBRA,103,11983,4759,1467,2102,3219,3960,27593,27490
Iberá,Cambyretá,PN,CENTRO,2018m1,1,2018,NO COBRA,100,459,141,0,0,0,42,742,642
Iberá,San Nicolás,PN,CENTRO,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Mburucuyá,Única,PN,CENTRO,2018m1,1,2018,NO COBRA,10,244,145,159,0,0,346,904,894
Pre Delta,Única,PN,CENTRO,2018m1,1,2018,NO COBRA,48,1507,2329,2673,16,90,1177,7840,7792
Quebrada del Condorito,Única,PN,CENTRO,2018m1,1,2018,NO COBRA,403,1823,851,84,0,0,0,3161,2758
San Guillermo,Única,PN,CENTRO,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Sierra de las Quijadas,Única,PN,CENTRO,2018m1,1,2018,COBRA,132,2430,172,14,126,260,335,3469,3337
Talampaya,Única,PN,CENTRO,2018m1,1,2018,COBRA,592,2010,63,0,197,385,497,3744,3152
Chaco,Única,PN,NEA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Colonia Benítez,Única,RNEd,NEA,2018m1,1,2018,NO COBRA,1,19,6,0,6,2,2,36,35
El Impenetrable,Única,PN,NEA,2018m1,1,2018,NO COBRA,0,64,14,0,0,0,0,78,78
Formosa,Única,RNat,NEA,2018m1,1,2018,NO COBRA,7,14,0,2,0,0,2,25,18
Iguazú,Única,PN,NEA,2018m1,1,2018,COBRA,102553,94923,19678,3439,0,23663,47863,292119,189566
Río Pilcomayo,Estero Poi,PN,NEA,2018m1,1,2018,NO COBRA,8,22,64,32,0,0,11,137,129
Río Pilcomayo,Laguna Blanca,PN,NEA,2018m1,1,2018,NO COBRA,92,161,198,1942,0,0,12,2405,2313
Aconquija,Única,PN,NOA,2018m1,1,2018,NO COBRA,0,0,4,20,0,0,4,28,28
Baritú,Única,PN,NOA,2018m1,1,2018,NO COBRA,0,27,0,0,0,0,0,27,27
Calilegua,Única,PN,NOA,2018m1,1,2018,NO COBRA,65,611,175,661,0,0,562,2074,2009
Copo,Guayacán,PN,NOA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Copo,Portada,PN,NOA,2018m1,1,2018,NO COBRA,8,4,0,0,0,0,0,12,4
El Rey,Única,PN,NOA,2018m1,1,2018,NO COBRA,10,23,61,0,0,0,13,107,97
Laguna de los Pozuelos,Única,MN,NOA,2018m1,1,2018,NO COBRA,47,84,34,21,0,2,12,200,153
Los Cardones,Recta del Tín Tín,PN,NOA,2018m1,1,2018,NO COBRA,381,5731,572,47,0,5771,58,12560,12179
Los Cardones,Valle Encantado,PN,NOA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Nogalar de los Toldos,Única,RNac,NOA,2018m1,1,2018,NO COBRA,61,22,41,68,0,5,81,278,217
Pizarro,Única,RNac,NOA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Bosques Petrificados,Única,PN,PATAGONIA,2018m1,1,2018,NO COBRA,155,751,176,41,165,94,340,1722,1567
Lago Puelo,Única,PN,PATAGONIA,2018m1,1,2018,COBRA,1644,50690,22644,22705,4729,8758,12113,123283,121639
Laguna Blanca,Única,PN,PATAGONIA,2018m1,1,2018,NO COBRA,36,204,65,5,0,0,68,378,342
Lanín,Hua Hum,PN,PATAGONIA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Lago Huechulaufquen,PN,PATAGONIA,2018m1,1,2018,COBRA,488,9753,4274,0,4432,4966,1133,25046,24558
Lanín,Muelle Lago Lácar,PN,PATAGONIA,2018m1,1,2018,COBRA,318,6980,1192,0,860,1583,586,11519,11201
Lanín,Quila Quina,PN,PATAGONIA,2018m1,1,2018,COBRA,493,8130,3034,0,3991,1260,2688,19596,19103
Lanín,Ruka Choroy,PN,PATAGONIA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Volcán Lanín,PN,PATAGONIA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Área Tromen,PN,PATAGONIA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Lanín,Ñorkinko,PN,PATAGONIA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Lihué Calel,Única,PN,PATAGONIA,2018m1,1,2018,NO COBRA,66,156,25,18,1,3,48,317,251
Los Alerces,Portada Centro,PN,PATAGONIA,2018m1,1,2018,COBRA,626,5033,3293,1184,1454,1506,1260,14356,13730
Los Alerces,Portada Norte,PN,PATAGONIA,2018m1,1,2018,COBRA,1459,6600,2837,34295,2151,1543,7237,56122,54663
Los Alerces,Portada Sur,PN,PATAGONIA,2018m1,1,2018,COBRA,144,5084,1958,6565,1610,1446,1875,18682,18538
Los Alerces,Villa Futalaufquen,PN,PATAGONIA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,El Chaltén,PN,PATAGONIA,2018m1,1,2018,NO COBRA,12182,7016,0,0,0,0,0,19198,7016
Los Glaciares,Puerto Bandera,PN,PATAGONIA,2018m1,1,2018,COBRA,10980,8924,76,4104,661,0,602,25347,14367
Los Glaciares,Puerto La Cruz,PN,PATAGONIA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Puerto La Soledad,PN,PATAGONIA,2018m1,1,2018,COBRA,3576,901,0,539,0,0,178,5194,1618
Los Glaciares,Puerto Lago Argentino,PN,PATAGONIA,2018m1,1,2018,COBRA,0,0,0,0,0,0,0,0,0
Los Glaciares,Río Mitre,PN,PATAGONIA,2018m1,1,2018,COBRA,67017,28019,7662,6742,4633,11446,6246,131765,64748
Monte León,Única,PN,PATAGONIA,2018m1,1,2018,NO COBRA,524,860,498,687,0,0,791,3360,2836
Nahuel Huapi,Lago Mascardi,PN,PATAGONIA,2018m1,1,2018,COBRA,3802,16740,932,10049,4108,0,5534,41165,37363
Nahuel Huapi,Puerto Pañuelo,PN,PATAGONIA,2018m1,1,2018,COBRA,6045,15251,3423,10688,4885,0,4413,44705,38660
Nahuel Huapi,Quetrihué,PN,PATAGONIA,2018m1,1,2018,COBRA,472,8529,5572,3618,2934,0,313,21438,20966
Nahuel Huapi,Río Limay,PN,PATAGONIA,2018m1,1,2018,COBRA,0,0,318,0,1803,0,0,2121,2121
Patagonia,Única,PN,PATAGONIA,2018m1,1,2018,NO COBRA,0,0,0,0,0,0,0,0,0
Perito Moreno,Única,PN,PATAGONIA,2018m1,1,2018,NO COBRA,74,196,26,35,0,0,59,390,316
Tierra del Fuego,Ruta Nacional 3,PN,PATAGONIA,2018m1,1,2018,COBRA,41549,13046,10848,0,4100,4867,5907,80317,38768
